YahooTicker,Error
ELUXB.ST,no price data (empty history)
ATCOA.ST,no price data (empty history)
ERICB.ST,no price data (empty history)
ASSAB.ST,no price data (empty history)
ATCOB.ST,no price data (empty history)
SEBA.ST,no price data (empty history)
INVEB.ST,no price data (empty history)
NOKIA.ST,'NoneType' object has no attribute 'update'
LUPE.ST,no price data (empty history)
HMB.ST,no price data (empty history)
SCAB.ST,no price data (empty history)
SECUB.ST,no price data (empty history)
SWEDA.ST,no price data (empty history)
SKAB.ST,no price data (empty history)
SHBA.ST,no price data (empty history)
VOLVB.ST,no price data (empty history)
TEL2B.ST,no price data (empty history)
SKFB.ST,no price data (empty history)
SWMA.ST,no price data (empty history)
SSABA.ST,no price data (empty history)
NDASE.ST,no price data (empty history)
AOIC.ST,no price data (empty history)
EKTAB.ST,no price data (empty history)
ENQ.ST,no price data (empty history)
ERICA.ST,no price data (empty history)
GETIB.ST,no price data (empty history)
ICAA.ST,no price data (empty history)
HEXAB.ST,no price data (empty history)
HOLMB.ST,no price data (empty history)
HUFVA.ST,no price data (empty history)
HUSQA.ST,no price data (empty history)
HUSQB.ST,no price data (empty history)
INDUA.ST,no price data (empty history)
INVEA.ST,no price data (empty history)
KINVA.ST,no price data (empty history)
KINVB.ST,no price data (empty history)
KLED.ST,no price data (empty history)
LATOB.ST,no price data (empty history)
LOOMB.ST,no price data (empty history)
LUNDB.ST,no price data (empty history)
MTGA.ST,no price data (empty history)
MTGB.ST,no price data (empty history)
NCCA.ST,no price data (empty history)
NCCB.ST,no price data (empty history)
PEABB.ST,no price data (empty history)
RATOB.ST,no price data (empty history)
SAABB.ST,no price data (empty history)
SAS.ST,no price data (empty history)
SCAA.ST,no price data (empty history)
SEBC.ST,no price data (empty history)
SSABB.ST,no price data (empty history)
TEL2A.ST,no price data (empty history)
TRELB.ST,no price data (empty history)
VOLVA.ST,no price data (empty history)
ADDTB.ST,no price data (empty history)
AFB.ST,no price data (empty history)
ALIVSDB.ST,no price data (empty history)
ANODB.ST,no price data (empty history)
ATREA.ST,no price data (empty history)
AVANZ.ST,no price data (empty history)
BALDB.ST,no price data (empty history)
BERGB.ST,no price data (empty history)
BEIAB.ST,no price data (empty history)
BEIJB.ST,no price data (empty history)
BELE.ST,no price data (empty history)
BETSB.ST,no price data (empty history)
BILIA.ST,no price data (empty history)
BIOGB.ST,no price data (empty history)
BOLJ.ST,no price data (empty history)
BRGB.ST,no price data (empty history)
BRINB.ST,no price data (empty history)
BTSB.ST,no price data (empty history)
CCORB.ST,no price data (empty history)
QLRO.ST,no price data (empty history)
CLASB.ST,no price data (empty history)
CLOEB.ST,no price data (empty history)
CONIC.ST,no price data (empty history)
CONSB.ST,no price data (empty history)
COREA.ST,no price data (empty history)
CTTS.ST,no price data (empty history)
CVTEC.ST,no price data (empty history)
DEDIC.ST,no price data (empty history)
DURCB.ST,no price data (empty history)
EAST9.ST,no price data (empty history)
ELANB.ST,no price data (empty history)
ELEC.ST,no price data (empty history)
ELOSSB.ST,no price data (empty history)
ELUXA.ST,no price data (empty history)
ETRN.ST,no price data (empty history)
FEEL.ST,no price data (empty history)
FINGB.ST,no price data (empty history)
FPAR.ST,no price data (empty history)
GHP.ST,no price data (empty history)
GUNN.ST,no price data (empty history)
HEBAB.ST,no price data (empty history)
HIQ.ST,no price data (empty history)
HLDX.ST,no price data (empty history)
