Tickersymbol,YahooTicker,CompanyName,Exchange
ELUXB.ST,ELUXB.ST,ELUXB.ST,YHD
ATCOA.ST,ATCOA.ST,ATCOA.ST,YHD
BOL.ST,BOL.ST,Boliden AB,STO
AZN.ST,AZN.ST,AstraZeneca PLC,STO
ENRO.ST,ENRO.ST,Eniro Group AB,STO
ERICB.ST,ERICB.ST,ERICB.ST,YHD
ALFA.ST,ALFA.ST,Alfa Laval AB,STO
ABB.ST,ABB.ST,ABB Ltd,STO
ASSAB.ST,ASSAB.ST,ASSAB.ST,YHD
ATCOB.ST,ATCOB.ST,ATCOB.ST,YHD
SEBA.ST,SEBA.ST,SEBA.ST,YHD
SAND.ST,SAND.ST,Sandvik AB,STO
INVEB.ST,INVEB.ST,INVEB.ST,YHD
LUPE.ST,LUPE.ST,LUPE.ST,Unknown
HMB.ST,HMB.ST,HMB.ST,YHD
SCAB.ST,SCAB.ST,SCAB.ST,YHD
SECUB.ST,SECUB.ST,SECUB.ST,YHD
SWEDA.ST,SWEDA.ST,SWEDA.ST,YHD
SKAB.ST,SKAB.ST,SKAB.ST,YHD
SHBA.ST,SHBA.ST,SHBA.ST,YHD
VOLVB.ST,VOLVB.ST,VOLVB.ST,YHD
TEL2B.ST,TEL2B.ST,TEL2B.ST,YHD
TELIA.ST,TELIA.ST,Telia Company AB,STO
SKFB.ST,SKFB.ST,SKFB.ST,YHD
SWMA.ST,SWMA.ST,SWMA.ST,Unknown
SSABA.ST,SSABA.ST,SSABA.ST,YHD
AXFO.ST,AXFO.ST,Axfood AB,STO
CAST.ST,CAST.ST,Castellum AB,STO
EKTAB.ST,EKTAB.ST,Elekta AB (publ),YHD
ENQ.ST,ENQ.ST,ENQ.ST,Unknown
ERICA.ST,ERICA.ST,ERICA.ST,YHD
FABG.ST,FABG.ST,Fabege AB,STO
GETIB.ST,GETIB.ST,GETIB.ST,YHD
HEXAB.ST,HEXAB.ST,Hexagon AB,YHD
HOLMB.ST,HOLMB.ST,HOLMB.ST,YHD
HUFVA.ST,HUFVA.ST,Hufvudstaden AB (publ),YHD
HUSQA.ST,HUSQA.ST,HUSQA.ST,Unknown
HUSQB.ST,HUSQB.ST,HUSQB.ST,YHD
INTRUM.ST,INTRUM.ST,Intrum AB,STO
INDUA.ST,INDUA.ST,INDUA.ST,YHD
INVEA.ST,INVEA.ST,INVEA.ST,YHD
JM.ST,JM.ST,JM AB,STO
KINVA.ST,KINVA.ST,KINVA.ST,YHD
KINVB.ST,KINVB.ST,KINVB.ST,YHD
