Tickersymbol,YahooTicker,YahooExchange,CompanyName
ACRI A,ACRI-A.ST,Stockholm Stock Exchange,Yahoo Finance
ACRI B,ACRI-B.ST,Stockholm Stock Exchange,Yahoo Finance
ATIC,ATIC.ST,Stockholm Stock Exchange,Yahoo Finance
ACTI,ACTI.ST,US Markets (default),Yahoo Finance
ATORX,ATORX.ST,Stockholm Stock Exchange,Yahoo Finance
ANNE B,ANNE-B.ST,Stockholm Stock Exchange,Yahoo Finance
ANOT,ANOT.ST,Stockholm Stock Exchange,Yahoo Finance
ARPL,ARPL.ST,Stockholm Stock Exchange,Yahoo Finance
ACE,ACE.ST,US Markets (default),Yahoo Finance
B3,B3.ST,Stockholm Stock Exchange,Yahoo Finance
BALCO,BALCO.ST,Stockholm Stock Exchange,Yahoo Finance
BEGR,BEGR.ST,Stockholm Stock Exchange,Yahoo Finance
BERNER B,BERNER-B.ST,Stockholm Stock Exchange,Yahoo Finance
BORG,BORG.ST,Stockholm Stock Exchange,Yahoo Finance
BONG,BONG.ST,Stockholm Stock Exchange,Yahoo Finance
BOUL,BOUL.ST,US Markets (default),Yahoo Finance
BULTEN,BULTEN.ST,Stockholm Stock Exchange,Yahoo Finance
CRAD B,CRAD-B.ST,Stockholm Stock Exchange,Yahoo Finance
CANTA,CANTA.ST,Stockholm Stock Exchange,Yahoo Finance
CARA,CARA.ST,Stockholm Stock Exchange,Yahoo Finance
CTM,CTM.ST,US Markets (default),Yahoo Finance
CNCJO B,CNCJO-B.ST,Stockholm Stock Exchange,Yahoo Finance
CTEK,CTEK.ST,Stockholm Stock Exchange,Yahoo Finance
DEDI,DEDI.ST,Stockholm Stock Exchange,Yahoo Finance
DORO,DORO.ST,Stockholm Stock Exchange,Yahoo Finance
DURC B,DURC-B.ST,Stockholm Stock Exchange,Yahoo Finance
EGTX,EGTX.ST,Stockholm Stock Exchange,Yahoo Finance
ELON,ELON.ST,US Markets (default),Yahoo Finance
ELTEL,ELTEL.ST,Stockholm Stock Exchange,Yahoo Finance
EG7,EG7.ST,Stockholm Stock Exchange,Yahoo Finance
ENRO,ENRO.ST,US Markets (default),Yahoo Finance
EPIS B,EPIS-B.ST,Stockholm Stock Exchange,Yahoo Finance
EQL,EQL.ST,US Markets (default),Yahoo Finance
FASTAT,FASTAT.ST,Stockholm Stock Exchange,Yahoo Finance
FNM,FNM.ST,US Markets (default),Yahoo Finance
FING B,FING-B.ST,Stockholm Stock Exchange,Yahoo Finance
FPIP,FPIP.ST,Stockholm Stock Exchange,Yahoo Finance
G5EN,G5EN.ST,Stockholm Stock Exchange,Yahoo Finance
GARO,GARO.ST,Stockholm Stock Exchange,Yahoo Finance
HAKI A,HAKI-A.ST,Stockholm Stock Exchange,Yahoo Finance
HAKI B,HAKI-B.ST,Stockholm Stock Exchange,Yahoo Finance
HAV B,HAV-B.ST,Stockholm Stock Exchange,Yahoo Finance
IS,IS.ST,Stockholm Stock Exchange,Yahoo Finance
IMMNOV,IMMNOV.ST,Stockholm Stock Exchange,Yahoo Finance
IBT B,IBT-B.ST,Stockholm Stock Exchange,Yahoo Finance
INFREA,INFREA.ST,Stockholm Stock Exchange,Yahoo Finance
IRLAB A,IRLAB-A.ST,Stockholm Stock Exchange,Yahoo Finance
ISOFOL,ISOFOL.ST,Stockholm Stock Exchange,Yahoo Finance
K2A B,K2A-B.ST,Stockholm Stock Exchange,Yahoo Finance
K2A PREF,K2A-PREF.ST,Stockholm Stock Exchange,Yahoo Finance
KARNEL B,KARNEL-B.ST,Stockholm Stock Exchange,Yahoo Finance
KDEV,KDEV.ST,Stockholm Stock Exchange,Yahoo Finance
LAMM B,LAMM-B.ST,Stockholm Stock Exchange,Yahoo Finance
MAHA A,MAHA-A.ST,Stockholm Stock Exchange,Yahoo Finance
MEAB B,MEAB-B.ST,Stockholm Stock Exchange,Yahoo Finance
MANG,MANG.ST,Stockholm Stock Exchange,Yahoo Finance
MVIR,MVIR.ST,Stockholm Stock Exchange,Yahoo Finance
IMMU,IMMU.ST,Stockholm Stock Exchange,Yahoo Finance
MSAB B,MSAB-B.ST,Stockholm Stock Exchange,Yahoo Finance
MSON A,MSON-A.ST,Stockholm Stock Exchange,Yahoo Finance
MSON B,MSON-B.ST,Stockholm Stock Exchange,Yahoo Finance
MOB,MOB.ST,US Markets (default),Yahoo Finance
MOMENT,MOMENT.ST,Stockholm Stock Exchange,Yahoo Finance
SAFETY B,SAFETY-B.ST,Stockholm Stock Exchange,Yahoo Finance
NICA,NICA.ST,Stockholm Stock Exchange,Yahoo Finance
NAXS,NAXS.ST,Stockholm Stock Exchange,Yahoo Finance
