OriginalTicker,CleanedTicker,YahooTicker,Exchange,Company,URL
AAK,AAK,AAK.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AAK.ST
ABB,ABB,ABB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ABB.ST
ALIF B,ALIF-B,ALIF-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALIF-B.ST
ANOD B,ANOD-B,ANOD-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ANOD-B.ST
ADDT B,ADDT-B,ADDT-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ADDT-B.ST
AFRY,AFRY,AFRY.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AFRY.ST
ALFA,ALFA,ALFA,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ALFA
ALLEI,ALLEI,ALLEI.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALLEI.ST
ARION SDB,ARION-SDB,ARION-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ARION-SDB.ST
ASKER,ASKER,ASKER.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASKER.ST
ASMDEE B,ASMDEE-B,ASMDEE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASMDEE-B.ST
ASSA B,ASSA-B,ASSA-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ASSA-B.ST
AZN,AZN,AZN,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/AZN
ATCO A,ATCO-A,ATCO-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATCO-A.ST
ATCO B,ATCO-B,ATCO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATCO-B.ST
ATRLJ B,ATRLJ-B,ATRLJ-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATRLJ-B.ST
ALIV SDB,ALIV-SDB,ALIV-SDB.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ALIV-SDB.ST
AZA,AZA,AZA,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/AZA
AXFO,AXFO,AXFO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/AXFO.ST
BALD B,BALD-B,BALD-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BALD-B.ST
