OriginalTicker,CleanedTicker,YahooTicker,Exchange,Company,URL
ACRI A,ACRI-A,ACRI-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ACRI-A.ST
ACRI B,ACRI-B,ACRI-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ACRI-B.ST
ATIC,ATIC,ATIC.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATIC.ST
ACTI,ACTI,ACTI,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ACTI
ATORX,ATORX,ATORX.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ATORX.ST
ANNE B,ANNE-B,ANNE-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ANNE-B.ST
ANOT,ANOT,ANOT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ANOT.ST
ARPL,ARPL,ARPL.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ARPL.ST
ACE,ACE,ACE,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ACE
B3,B3,B3.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/B3.ST
BALCO,BALCO,BALCO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BALCO.ST
BEGR,BEGR,BEGR.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BEGR.ST
BERNER B,BERNER-B,BERNER-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BERNER-B.ST
BORG,BORG,BORG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BORG.ST
BONG,BONG,BONG.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BONG.ST
BOUL,BOUL,BOUL,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/BOUL
BULTEN,BULTEN,BULTEN.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/BULTEN.ST
CRAD B,CRAD-B,CRAD-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CRAD-B.ST
CANTA,CANTA,CANTA.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CANTA.ST
CARA,CARA,CARA.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CARA.ST
CTM,CTM,CTM,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/CTM
CNCJO B,CNCJO-B,CNCJO-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CNCJO-B.ST
CTEK,CTEK,CTEK.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/CTEK.ST
DEDI,DEDI,DEDI.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/DEDI.ST
DORO,DORO,DORO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/DORO.ST
DURC B,DURC-B,DURC-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/DURC-B.ST
EGTX,EGTX,EGTX.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EGTX.ST
ELON,ELON,ELON,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ELON
ELTEL,ELTEL,ELTEL.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ELTEL.ST
EG7,EG7,EG7.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EG7.ST
ENRO,ENRO,ENRO,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/ENRO
EPIS B,EPIS-B,EPIS-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/EPIS-B.ST
EQL,EQL,EQL,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/EQL
FASTAT,FASTAT,FASTAT.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FASTAT.ST
FNM,FNM,FNM,US Markets (default),Yahoo Finance,https://finance.yahoo.com/quote/FNM
FING B,FING-B,FING-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FING-B.ST
FPIP,FPIP,FPIP.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/FPIP.ST
G5EN,G5EN,G5EN.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/G5EN.ST
GARO,GARO,GARO.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/GARO.ST
HAKI A,HAKI-A,HAKI-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HAKI-A.ST
HAKI B,HAKI-B,HAKI-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HAKI-B.ST
HAV B,HAV-B,HAV-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/HAV-B.ST
IS,IS,IS.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IS.ST
IMMNOV,IMMNOV,IMMNOV.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IMMNOV.ST
IBT B,IBT-B,IBT-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IBT-B.ST
INFREA,INFREA,INFREA.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/INFREA.ST
IRLAB A,IRLAB-A,IRLAB-A.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/IRLAB-A.ST
ISOFOL,ISOFOL,ISOFOL.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/ISOFOL.ST
K2A B,K2A-B,K2A-B.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/K2A-B.ST
K2A PREF,K2A-PREF,K2A-PREF.ST,Stockholm Stock Exchange,Yahoo Finance,https://finance.yahoo.com/quote/K2A-PREF.ST
