Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
ACRI A,ACRI-A.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ACRI B,ACRI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ATIC,ATIC.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ACTI,ACTI,US Markets (default),Yahoo Finance,Small Cap,
ATORX,ATORX.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ANNE B,ANNE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ANOT,ANOT.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ARPL,ARPL.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ACE,ACE,US Markets (default),Yahoo Finance,Small Cap,
B3,B3.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BALCO,BALCO.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BEGR,BEGR.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BERNER B,BERNER-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BORG,BORG.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BONG,BONG.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
BOUL,BOUL,US Markets (default),Yahoo Finance,Small Cap,
BULTEN,BULTEN.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
CRAD B,CRAD-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
CANTA,CANTA.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
CARA,CARA.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
CTM,CTM,US Markets (default),Yahoo Finance,Small Cap,
CNCJO B,CNCJO-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
CTEK,CTEK.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
DEDI,DEDI.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
DORO,DORO.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
DURC B,DURC-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
EGTX,EGTX.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ELON,ELON,US Markets (default),Yahoo Finance,Small Cap,
ELTEL,ELTEL.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
EG7,EG7.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
ENRO,ENRO,US Markets (default),Yahoo Finance,Small Cap,
EPIS B,EPIS-B.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
EQL,EQL,US Markets (default),Yahoo Finance,Small Cap,
FASTAT,FASTAT.ST,Stockholm Stock Exchange,Yahoo Finance,Small Cap,
